FPrate,Sensivity[Mean],Sensivity[Lower bound],Sensivity[Upper bound]
3.657290729,0.007491376,0.003273322,0.012647555
3.708483348,0.007574923,0.003278689,0.012647555
3.759675968,0.007604492,0.003297609,0.012647555
3.810868587,0.007617858,0.003297609,0.012647555
3.862061206,0.007629666,0.003297609,0.012647555
3.913253825,0.007666729,0.003297609,0.012787724
3.964446445,0.007771141,0.003297609,0.012789768
4.015639064,0.007964738,0.003344482,0.013093290
4.066831683,0.008161462,0.003466205,0.013215859
4.118024302,0.008324771,0.003475239,0.013286094
4.169216922,0.008418600,0.003536693,0.013640239
4.220409541,0.008470782,0.003613370,0.013640239
4.271602160,0.008505588,0.003974563,0.013769363
4.322794779,0.008595187,0.003974563,0.013911621
4.373987399,0.008754017,0.004055150,0.014309764
4.425180018,0.008940545,0.004125413,0.014731369
4.476372637,0.009157258,0.004258944,0.014975041
4.527565257,0.009386864,0.004291845,0.015205724
4.578757876,0.009607000,0.004460303,0.015522876
4.629950495,0.009826802,0.004866180,0.015544041
4.681143114,0.010031214,0.004991680,0.015899582
4.732335734,0.010149220,0.005037783,0.015915120
4.783528353,0.010178685,0.005037783,0.015915120
4.834720972,0.010203431,0.005059022,0.016038492
4.885913591,0.010212542,0.005059022,0.016170213
4.937106211,0.010215282,0.005059022,0.016170213
4.988298830,0.010215282,0.005059022,0.016170213
5.039491449,0.010215282,0.005059022,0.016170213
5.090684068,0.010215282,0.005059022,0.016170213
5.141876688,0.010215282,0.005059022,0.016170213
5.193069307,0.010215282,0.005059022,0.016170213
5.244261926,0.010215282,0.005059022,0.016170213
5.295454545,0.010215282,0.005059022,0.016170213
5.346647165,0.010215282,0.005059022,0.016170213
5.397839784,0.010215282,0.005059022,0.016170213
5.449032403,0.010215282,0.005059022,0.016170213
5.500225023,0.010216939,0.005059022,0.016170213
5.551417642,0.010216939,0.005059022,0.016170213
5.602610261,0.010218617,0.005059022,0.016170213
5.653802880,0.010232959,0.005059022,0.016183987
5.704995500,0.010267397,0.005059022,0.016197784
5.756188119,0.010332204,0.005059022,0.016233766
5.807380738,0.010448061,0.005059022,0.016421780
5.858573357,0.010630233,0.005159071,0.016450217
5.909765977,0.010794584,0.005524862,0.016589861
5.960958596,0.010948017,0.005742412,0.016652059
6.012151215,0.011024277,0.005847953,0.016652789
6.063343834,0.011118248,0.005877414,0.016778523
6.114536454,0.011226961,0.005927180,0.016994633
6.165729073,0.011372058,0.005937235,0.017241379
6.216921692,0.011613494,0.005937235,0.017746229
6.268114311,0.011936448,0.006018917,0.018050542
6.319306931,0.012273001,0.006462036,0.018469658
6.370499550,0.012699015,0.007011394,0.018976897
6.421692169,0.013068819,0.007358953,0.019349165
6.472884788,0.013436263,0.007462686,0.019966722
6.524077408,0.013781692,0.007679181,0.020104894
6.575270027,0.014097518,0.008064516,0.020228673
6.626462646,0.014329872,0.008203445,0.020440252
6.677655266,0.014475472,0.008319467,0.020779220
6.728847885,0.014647471,0.008688097,0.020797227
6.780040504,0.014810169,0.008737093,0.021110242
6.831233123,0.014955440,0.008863820,0.021259198
6.882425743,0.015093658,0.008906882,0.021312874
6.933618362,0.015196806,0.008986929,0.021346470
6.984810981,0.015255812,0.009113505,0.021346470
7.036003600,0.015305607,0.009113505,0.021612635
7.087196220,0.015362582,0.009128631,0.021702837
